htitem_id	title	author	date	rights	OCLC	LCCN	ISBN	catalog_url	handle_url
nnc1.cu54352819	The 29th of May: or, The restoration: being, a short view of the many calamities brought upon these nations, by the tyrannical usurpers during the grand rebellion. And of the prophetick wishes and prayers of loyal subjects, for the return of their rightful sovereign, as the only relief in their distress. Collected from many papers printed in those times. 		1718-00-00	1	15432434			https://catalog.hathitrust.org/Record/008428021	https://hdl.handle.net/2027/nnc1.cu54352819
nnc1.0035545763	The ability of Jesus Christ to save sinners : a sermon preached in the chapel of Newgate, on Sunday November 21st, 1790, at the request of the friends of Francis Fonton ... by William Love ; also, an appendix, containing some memoirs of Mr. Fonton 	Love, William, d. 1795.	1790-00-00	1	34065564			https://catalog.hathitrust.org/Record/008396063	https://hdl.handle.net/2027/nnc1.0035545763
uc2.ark:/13960/t9h420s87	The aboriginal Britons, a poem 	Richards, George, 1767-1837.	1791-00-00	1	13335624			https://catalog.hathitrust.org/Record/007702808	https://hdl.handle.net/2027/uc2.ark:/13960/t9h420s87
nnc1.cu11640022	Abridged report of the state of agriculture in Mid-Lothian 	Robertson, George, 1750?-1832. Great Britain. Board of Agriculture.	1795-00-00	1	13489220			https://catalog.hathitrust.org/Record/008421503	https://hdl.handle.net/2027/nnc1.cu11640022
mdp.39015062688406	An abridgement of ecclesiastical history from the commencement of Christianity, to the beginning of the present century; constructed upon a new plan, and divided into four grand periods By Patrick Nesbit ... 	Nisbet, Patrick.	1776-00-00	1	9450058			https://catalog.hathitrust.org/Record/001930714	https://hdl.handle.net/2027/mdp.39015062688406
mdp.39015062965317	An abridgement of the acts of the General Assemblies of the Church of Scotland, beginning with the General Assembly held at Glasgow in the year 1638, and ending with the General Assembly held at Edinburgh, in May 1720; to which are prefixed, lists of the noble and honourable persons that represented our sovereigns in the General Assemblies; of the several moderators of our Assemblies; and of all the presbyteries of the Church of Scotland, according to the order of the several synods thereof By John Dundas 	Church of Scotland. General Assembly	1721-00-00	1	23638592			https://catalog.hathitrust.org/Record/001961245	https://hdl.handle.net/2027/mdp.39015062965317
nnc1.0036698806	Abridgment of ... [his] history of his life and times, with an Account of the ministers, &amp;c. who were ejected after the restauration of King Charles II ... by Edmund Calamy v.2	Baxter, Richard, 1615-1691.	1713-00-00	1	38764582			https://catalog.hathitrust.org/Record/008397178	https://hdl.handle.net/2027/nnc1.0036698806
nnc1.0036746967	An abridgment of the Acts of the General Assemblies of the Church of Scotland: : beginning with the General Assembly held at Glasgow, in the year 1638. : And ending with the General Assembly held at Edinburgh, in May 1720 ... By John Dundas ... 	Church of Scotland. General Assembly.	1721-00-00	1	5516547			https://catalog.hathitrust.org/Record/008397870	https://hdl.handle.net/2027/nnc1.0036746967
mdp.39015062952737	An abridgment of the controversy between the Church of England, and the new pseudo-primitives. Wherein the chief arguments on each side are propos'd in so short and plain a method, as may render it generally useful, even to persons of the meanest capacity: in a dialogue between Neophytus, an essentialist clergyman, and Irenæus, a layman of the Church of England 	Downes, Samuel	1722-00-00	1	68199366			https://catalog.hathitrust.org/Record/002240885	https://hdl.handle.net/2027/mdp.39015062952737
mdp.39015063715752	An abstract of the evidence delivered before a select committee of the House of commons, in the years 1790 and 1791, on the part of the petitioners for the abolition of the slave trade ... 		1792-00-00	1	4323223			https://catalog.hathitrust.org/Record/001742017	https://hdl.handle.net/2027/mdp.39015063715752
